Unnamed: 0,subject_hash,project,hip_flexion_median,hip_adduction_median,hip_rotation_median,knee_angle_median,ankle_angle_median,lumbar_extension_median,lumbar_bending_median,lumbar_rotation_median,neck_extension_median,neck_bending_median,neck_rotation_median,arm_flex_median,arm_add_median,elbow_flex_median,All_median,RTE (cm),pelvis_tilt_mean,pelvis_list_mean,pelvis_rotation_mean,hip_flexion_r_mean,hip_adduction_r_mean,hip_rotation_r_mean,knee_angle_r_mean,ankle_angle_r_mean,subtalar_angle_r_mean,hip_flexion_l_mean,hip_adduction_l_mean,hip_rotation_l_mean,knee_angle_l_mean,ankle_angle_l_mean,subtalar_angle_l_mean,lumbar_extension_mean,lumbar_bending_mean,lumbar_rotation_mean
0,rGPMbocZmNHCfEe4,LLPU,16.064512720316195,1.6142541655168068,3.090253349401508,11.871824150192316,7.714080535409516,6.16960913198226,2.11515804113074,5.05638776189997,22.357797795147167,1.7486508373197955,8.419135350220545,4.619188633787924,2.4999166843427205,5.007980076817974,4.680732053304324,,7.5838213,2.8358824,1.618377,14.619491,1.8099196,2.8930593,12.906701,7.4007564,6.3650737,16.819246,2.0881863,3.5329413,21.041021,8.410278,4.548599,6.0174737,2.438892,5.7319946
1,rGPMbocZmNHCfEe4,LLPU,12.565982251956235,2.458102693130726,4.598299353985086,14.604962766387,8.519341055533802,3.714885248056575,1.8418800380044136,4.50927466834314,25.83321148826122,2.361566506949058,7.70240176570244,6.069843973870469,2.4161303269073517,3.543199905531842,4.926461342187049,,4.3823495,1.859873,2.241563,11.384561,2.6350389,4.3279657,14.880527,11.52935,6.0296397,14.339092,2.9879503,5.0041423,19.03824,6.9096828,4.988649,4.181588,1.9706621,4.724285
2,rGPMbocZmNHCfEe4,LLPU,11.105709151748666,1.7859173099267371,3.5900114607821707,10.58205647733036,5.11122009367001,6.279439854496535,2.080863661308105,4.535806538174054,20.49672492557502,1.9703672087931663,9.092356360857435,4.865934340196511,2.539889512686574,5.584070674815407,4.4866411289810095,,7.7076406,2.798585,2.1868842,10.560252,2.0923884,4.1124053,13.7386875,5.0967846,5.684964,12.978144,1.9599574,3.7202823,19.144617,5.7278695,5.749739,6.6304197,2.3814769,4.959875
3,rGPMbocZmNHCfEe4,LLPU,16.255372111388446,2.066289531723179,3.81055656153459,15.783877322793296,8.162440619512187,3.9878665648408287,3.3590829783874514,6.524372999454131,23.83465715598047,3.486039759915298,6.1577019778248125,7.250701719095633,2.270010809332799,5.21460012940003,5.210440544195492,,5.925049,3.1125374,2.760594,16.026073,2.3421965,4.6792912,16.833532,10.75353,7.8815575,17.980597,2.229824,4.1497507,19.613771,7.9985867,5.3409066,4.363215,3.413976,6.7272305
4,rGPMbocZmNHCfEe4,LLPU,5.853437967755077,2.439219567953168,3.373633415753694,7.989244097633589,5.395872496198522,6.605983941638852,1.5491101690907525,4.279539548062468,20.458417809615003,1.191978360411003,8.7151207441294,3.906806733544764,1.980111113974424,5.8056437190379135,4.078741804861025,,5.2480745,2.2167344,2.8363771,7.6226044,2.7830434,3.438167,13.173547,7.240698,4.407526,6.947203,2.5925689,4.13782,11.867917,5.104389,4.337851,6.2953634,1.7088845,4.403592
5,_CNkqH0sivezUBdN,LLPU,4.812364312762456,1.3200504904859718,2.6412294562888765,6.251025840662458,4.336436304509144,2.2744820219182187,1.1320272287448625,3.638908358163469,5.160463196264862,0.8778794649058316,0.9272496196914176,3.534146916673813,1.5677115489650473,2.717021077300746,2.558715221586422,,5.4347873,1.0418959,2.175288,4.747061,1.3719151,3.8253112,7.1203675,4.714058,5.699438,4.637627,1.7793989,3.7034533,8.054928,4.8793755,4.362214,2.6161995,1.4031904,3.575791
6,_CNkqH0sivezUBdN,LLPU,5.516244761923065,1.853172688579972,2.5861508108218936,5.124891144180613,5.236534428145879,1.1762456599881137,1.5621510279287163,2.5139783362964847,6.951552240053768,1.0718466454112916,1.4128220684961987,3.740060898450419,1.2648750484318452,2.421278155107425,2.574642368957245,,3.3441646,1.1634678,1.8281394,5.8370066,1.8447354,3.950636,5.544555,8.230587,8.378839,5.4456716,1.9586409,3.4478488,6.794036,4.8565435,8.807374,1.6464542,1.76722,2.717332
7,_CNkqH0sivezUBdN,LLPU,3.845176656003269,1.2037591560688057,2.577403899816046,4.636999205822378,4.1976464336876615,1.429094140420108,0.6063679728144532,3.344590384185742,4.343557630492528,1.0045830491867118,1.3621614882051565,3.9182699254061606,1.3711685867296992,2.4923155375701427,2.218807869332976,,3.753729,0.7913057,1.8914732,5.6161118,1.2779598,2.9579654,4.548229,4.0908456,5.0309825,3.2864888,1.211387,2.9664607,6.4400105,6.709117,3.7856941,1.6970221,0.79240143,3.2391257
8,_CNkqH0sivezUBdN,LLPU,4.771174856972693,1.569128599774413,3.224974561911778,6.73512745091816,6.352228753594537,1.9609797541092184,1.371730796675756,3.466885134718232,8.409788236341383,1.0220351430114465,1.42697080536188,6.5523695179751895,2.011873201162276,6.84440450122284,3.259575019586593,,3.1017184,1.2235101,2.0052512,5.1682315,1.9124346,3.3667219,7.770451,5.72324,5.7895193,5.282032,1.6680714,4.0954404,10.252275,9.08779,5.8852243,2.255452,1.5811673,3.3452435
9,YrBXjaIH4QQFLxas,LLPU,5.804991435972177,1.5187187087702516,3.177553412278026,6.278819587942533,11.10246054302468,5.160093512276036,1.6910046810551227,2.1110535243263846,13.316964112520076,1.3988022514511014,1.9433008766596984,3.5069222095289656,1.1181352643032911,2.8908587831876797,3.035941392668859,,13.985334,1.9003382,3.9815464,9.806401,2.4784727,3.8257093,24.291069,34.887695,9.545747,5.5135436,1.7954202,5.237446,5.561901,7.200242,6.0227942,5.6004453,2.0481231,3.615244
